Number Of Particles,Best Value
49,19.8549
49,19.8688
49,19.9322
49,19.6695
49,19.8621
49,19.892
49,19.8184
49,19.7528
49,19.8091
49,19.8931
49,19.837
49,19.8826
49,19.8964
49,19.8466
49,19.7251
49,19.648
49,19.879
49,19.8902
49,19.7866
49,19.8175
#Global
49,19.9782
49,20.052
49,19.9553
49,19.9167
49,20.0704
49,19.8753
49,20.1021
49,20.1085
49,20.0689
49,19.9456
49,20.0868
49,19.8412
49,20.0423
49,19.9829
49,20.1315
49,20.0363
49,19.989
49,19.9073
49,20.0386
49,19.9482
#Ring
49,19.7964
49,19.8294
49,19.9201
49,19.9297
49,19.9114
49,19.8081
49,20.0269
49,19.9411
49,19.9523
49,19.8742
49,19.8848
49,19.9553
49,19.7412
49,19.7655
49,19.901
49,0.215044
49,19.8811
49,19.7726
49,19.8148
49,19.8495
#VonNeumann
49,0.279378
49,0.0123021
49,0.0150349
49,1.17337
49,0.438652
49,20.6234
49,0.334721
49,0.00486376
49,1.51927
49,0.0468458
49,0.080178
49,0.00428368
49,0.00831174
49,0.101366
49,0.00412164
49,0.00448294
49,0.0140605
49,0.275793
49,0.0122858
49,20.1787
#Random
